timestamp,symbol,price,baseline
2025-05-05T16:40:44.336431,TSLA,278.225,277.21
2025-05-05T16:40:44.572449,NVDA,113.97,113.745
2025-05-05T16:40:44.845278,AMD,100.74,100.845
2025-05-05T16:40:45.080690,MRNA,27.97,28.04
2025-05-05T16:40:45.319210,BNTX,101.91,102.01
2025-05-05T16:40:45.564880,ROKU,60.79,60.95
2025-05-05T16:40:45.795994,DKNG,34.08,34.1
2025-05-05T16:40:46.035747,PLTR,124.895,124.83
2025-05-05T16:40:46.267180,SNOW,169.67,169.47
2025-05-05T16:40:46.502386,ZM,79.07,79.135
2025-05-05T16:40:46.735797,CRWD,449.3,449.52
2025-05-05T16:40:46.970448,DDOG,106.235,106.28
2025-05-05T16:40:47.205071,PINS,27.24,27.23
2025-05-05T16:40:47.427231,BYND,2.58,2.57
2025-05-05T16:40:47.673893,NIO,3.975,3.965
2025-05-05T16:40:47.899558,LI,25.285,25.215
2025-05-05T16:40:48.137115,XPEV,19.93,19.875
2025-05-05T16:40:48.371297,COIN,200.28,200.11
2025-05-05T16:40:48.608799,RIOT,7.88,7.91
2025-05-05T16:40:48.832534,MARA,13.12,13.105
2025-05-05T16:40:49.063552,DOCU,83.325,83.45
2025-05-05T16:40:49.302035,NET,125.3,125.2
2025-05-05T16:40:49.532222,ESTC,83.33,83.375
2025-05-05T16:40:49.784593,MDB,174.63,174.405
2025-05-05T16:40:50.015629,TTD,56.35,56.37
2025-05-05T16:40:50.243770,OKTA,115.49,115.45
2025-05-05T16:40:50.475668,TDOC,7.18,7.175
2025-05-05T16:40:50.728609,ETSY,45.65,45.66
2025-05-05T16:40:50.956285,UBER,86.35,86.085
2025-05-05T16:40:51.213631,LYFT,12.97,12.965
2025-05-05T16:40:51.445309,TWLO,105.185,105.36
2025-05-05T16:40:51.756094,Z,68.54,68.61
2025-05-05T16:40:51.994922,SNAP,8.565,8.585
2025-05-05T16:40:52.243659,SPOT,643.71,645.01
2025-05-05T16:40:52.479633,SHOP,99.11,98.95
2025-05-05T16:40:52.739240,SQ,86.95,86.95
2025-05-05T16:40:52.977646,PYPL,68.88,68.81
2025-05-05T16:40:53.202697,W,30.955,31.06
2025-05-05T16:40:53.455604,COUP,80.975,80.975
2025-05-05T16:40:53.682723,DT,48.075,48.17
2025-05-05T16:40:53.923743,CRON,1.86,1.865
2025-05-05T16:40:54.175788,AMC,2.635,2.635
2025-05-05T16:40:54.411944,GME,26.44,26.49
2025-05-05T16:40:54.661216,FSR,0.0891,0.0891
2025-05-05T16:40:54.896449,SPCE,2.97,2.96
2025-05-05T16:40:55.124414,BABA,126.53,126.54
2025-05-05T16:40:55.347719,MSTR,380.62,380.52
2025-05-05T16:40:55.596332,HOOD,47.55,47.39
2025-05-05T16:40:55.819903,RBLX,72.48,72.52
2025-05-05T16:40:56.055874,FSLR,125.18,125.545
2025-05-05T16:40:56.281836,KO,71.575,71.61
2025-05-05T16:40:56.526729,PG,159.04,159.14
2025-05-05T16:40:56.766678,JNJ,155.17,155.2
2025-05-05T16:40:56.991881,MCD,316.52,316.815
2025-05-05T16:40:57.226788,WMT,99.59,99.62
2025-05-05T16:40:57.473218,PEP,132.73,132.81
2025-05-05T16:40:57.708362,COST,1014.39,1014.75
2025-05-05T16:40:57.935675,CL,90.9,90.955
2025-05-05T16:40:58.175003,GIS,54.96,54.98
2025-05-05T16:40:58.409214,KMB,130.945,130.985
2025-05-05T16:40:58.635233,ADM,47.59,47.62
2025-05-05T16:40:58.855651,MO,59.87,59.85
2025-05-05T16:40:59.089582,PM,172.87,172.7
2025-05-05T16:40:59.317069,UL,63.48,63.47
2025-05-05T16:40:59.597701,CLX,138.275,138.26
2025-05-05T16:40:59.840125,CHD,93.21,93.21
2025-05-05T16:41:00.067852,HRL,29.12,29.16
2025-05-05T16:41:00.303853,KHC,28.52,28.535
2025-05-05T16:41:00.537905,HSY,165.415,165.56
2025-05-05T16:41:00.759410,SJM,114.02,114.15
2025-05-05T16:41:00.996624,MKC,75.68,75.78
2025-05-05T16:41:01.225584,CPB,35.565,35.595
2025-05-05T16:41:01.452933,K,82.69,82.7
2025-05-05T16:41:01.679068,TSN,56.12,56.01
2025-05-05T16:41:01.904351,DUK,121.28,121.27
2025-05-05T16:41:02.137960,SO,91.16,91.12
2025-05-05T16:41:02.366414,AEP,107.315,107.3
2025-05-05T16:41:02.600283,ED,109.34,109.39
2025-05-05T16:41:02.829155,WEC,108.27,108.2
2025-05-05T16:41:03.066297,NEE,66.425,66.415
2025-05-05T16:41:03.298961,DTE,136.54,136.45
2025-05-05T16:41:03.532362,EXC,46.055,46.03
2025-05-05T16:41:03.763117,XEL,70.9,70.84
2025-05-05T16:41:03.996899,SRE,75.575,75.53
2025-05-05T16:41:04.239190,T,27.43,27.43
2025-05-05T16:41:04.462041,VZ,43.575,43.575
2025-05-05T16:41:04.715475,O,57.215,57.21
2025-05-05T16:41:04.950782,NNN,42.2,42.21
2025-05-05T16:41:05.190070,MDT,83.7,83.79
2025-05-05T16:41:05.445147,ABT,132.58,132.62
2025-05-05T16:41:05.676168,MRK,82.44,82.53
2025-05-05T16:41:05.939657,PFE,24,24.01
2025-05-05T16:41:06.234209,TGT,95.02,95.1
2025-05-05T16:41:06.467194,CVS,68.09,67.98
2025-05-05T16:41:06.700551,IBM,249.02,249.37
2025-05-05T16:41:06.935167,WBA,10.985,10.985
2025-05-05T16:41:07.195247,BDX,168.485,168.475
2025-05-05T16:41:07.441417,SYY,70.72,70.77
2025-05-05T16:41:07.683061,BAX,31.035,31.04
2025-05-05T16:41:07.931175,D,54.3,54.245
